"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 06 03:43:24 UTC 2023","Wed Sep 06 03:43:48 UTC 2023","24279","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Sep 06 02:50:57 UTC 2023","Wed Sep 06 02:50:59 UTC 2023","2853","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Wed Sep 06 02:34:23 UTC 2023","Wed Sep 06 02:34:26 UTC 2023","2633","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 06 04:34:22 UTC 2023","Wed Sep 06 04:35:18 UTC 2023","55958","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Sep 06 02:51:30 UTC 2023","Wed Sep 06 02:51:33 UTC 2023","2847","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Sep 06 03:06:39 UTC 2023","Wed Sep 06 03:06:40 UTC 2023","1297","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Sep 06 02:47:28 UTC 2023","Wed Sep 06 02:47:32 UTC 2023","3912","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 06 02:34:49 UTC 2023","Wed Sep 06 02:34:56 UTC 2023","7357","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Sep 06 02:23:36 UTC 2023","Wed Sep 06 02:23:58 UTC 2023","22103","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Sep 06 02:42:49 UTC 2023","Wed Sep 06 02:42:53 UTC 2023","3894","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Sep 06 02:42:47 UTC 2023","Wed Sep 06 02:42:49 UTC 2023","1767","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Sep 06 04:11:44 UTC 2023","Wed Sep 06 04:11:46 UTC 2023","2602","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Sep 06 02:51:43 UTC 2023","Wed Sep 06 02:51:47 UTC 2023","3102","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 06 02:51:11 UTC 2023","Wed Sep 06 02:51:14 UTC 2023","2857","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 06 02:47:14 UTC 2023","Wed Sep 06 02:47:28 UTC 2023","14031","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 06 02:39:18 UTC 2023","Wed Sep 06 02:39:35 UTC 2023","16985","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 06 02:56:13 UTC 2023","Wed Sep 06 02:56:51 UTC 2023","37684","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Sep 06 02:42:53 UTC 2023","Wed Sep 06 02:42:57 UTC 2023","4613","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Sep 06 04:14:52 UTC 2023","Wed Sep 06 04:15:03 UTC 2023","10972","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Sep 06 02:36:32 UTC 2023","Wed Sep 06 02:36:49 UTC 2023","16543","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Sep 06 02:20:17 UTC 2023","Wed Sep 06 02:20:30 UTC 2023","12514","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Sep 06 03:29:40 UTC 2023","Wed Sep 06 03:29:53 UTC 2023","12629","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Sep 06 04:31:42 UTC 2023","Wed Sep 06 04:31:47 UTC 2023","4579","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Sep 06 04:15:03 UTC 2023","Wed Sep 06 04:15:06 UTC 2023","2935","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
